,draft_year,pick_no,player_name
173,2015,54,Dani Díez
174,2015,55,Cady Lalanne
175,2015,56,Branden Dawson
176,2015,57,Nikola Radičević
177,2015,58,J.P. Tokoto
178,2015,59,Dimitrios Agravanis
179,2015,60,Luka Mitrović
180,2016,1,Ben Simmons
181,2016,2,Brandon Ingram
182,2016,3,Jaylen Brown
183,2016,4,Dragan Bender
184,2016,5,Kris Dunn
185,2016,6,Buddy Hield
186,2016,7,Jamal Murray
187,2016,8,Marquese Chriss
188,2016,9,Jakob Poeltl
189,2016,10,Thon Maker
190,2016,11,Domantas Sabonis
191,2016,12,Taurean Prince
192,2016,13,Georgios Papagiannis
193,2016,14,Denzel Valentine
194,2016,15,Juancho Hernangómez
195,2016,16,Guerschon Yabusele
196,2016,17,Wade Baldwin
197,2016,18,Henry Ellenson
198,2016,19,Malik Beasley
199,2016,20,Caris LeVert
200,2016,21,DeAndre' Bembry
201,2016,22,Malachi Richardson
202,2016,23,Ante Žižić
203,2016,24,Timothé Luwawu-Cabarrot
204,2016,25,Brice Johnson
205,2016,26,Furkan Korkmaz
206,2016,27,Pascal Siakam
207,2016,28,Skal Labissière
208,2016,29,Dejounte Murray
209,2016,30,Damian Jones
210,2016,31,Deyonta Davis
211,2016,32,Ivica Zubac
212,2016,33,Cheick Diallo
213,2016,34,Tyler Ulis
214,2016,35,Rade Zagorac
215,2016,36,Malcolm Brogdon
216,2016,37,Chinanu Onuaku
217,2016,38,Patrick McCaw
218,2016,39,David Michineau
219,2016,40,Diamond Stone
220,2016,41,Stephen Zimmerman
221,2016,42,Isaiah Whitehead
222,2016,43,Zhou Qi
223,2016,44,Isaïa Cordinier
224,2016,45,Demetrius Jackson
225,2016,46,A.J. Hammons
226,2016,47,Jake Layman
227,2016,48,Paul Zipser
228,2016,49,Michael Gbinije
229,2016,50,Georges Niang
230,2016,51,Ben Bentil
231,2016,52,Joel Bolomboy
232,2016,53,Petr Cornelie
233,2016,54,Kay Felder
234,2016,55,Marcus Paige
235,2016,56,Daniel Hamilton
236,2016,57,Wang Zhelin
237,2016,58,Abdel Nader
238,2016,59,Isaiah Cousins
239,2016,60,Tyrone Wallace
240,2017,1,Markelle Fultz
241,2017,2,Lonzo Ball
242,2017,3,Jayson Tatum
243,2017,4,Josh Jackson
244,2017,5,De'Aaron Fox
245,2017,6,Jonathan Isaac
246,2017,7,Lauri Markkanen
247,2017,8,Frank Ntilikina
248,2017,9,Dennis Smith Jr.
249,2017,10,Zach Collins
250,2017,11,Malik Monk
251,2017,12,Luke Kennard
252,2017,13,Donovan Mitchell
253,2017,14,Bam Adebayo
254,2017,15,Justin Jackson
255,2017,16,Justin Patton
256,2017,17,D.J. Wilson
257,2017,18,T.J. Leaf
258,2017,19,John Collins
259,2017,20,Harry Giles
260,2017,21,Terrance Ferguson
261,2017,22,Jarrett Allen
262,2017,23,OG Anunoby
263,2017,24,Tyler Lydon
264,2017,25,Anžejs Pasečņiks
265,2017,26,Caleb Swanigan
266,2017,27,Kyle Kuzma
267,2017,28,Tony Bradley
268,2017,29,Derrick White
269,2017,30,Josh Hart
270,2017,31,Frank Jackson
271,2017,32,Davon Reed
272,2017,33,Wes Iwundu
273,2017,34,Frank Mason III
274,2017,35,Ivan Rabb
275,2017,36,Jonah Bolden
276,2017,37,Semi Ojeleye
277,2017,38,Jordan Bell
278,2017,39,Jawun Evans
279,2017,40,Dwayne Bacon
280,2017,41,Tyler Dorsey
281,2017,42,Thomas Bryant
282,2017,43,Isaiah Hartenstein
283,2017,44,Damyean Dotson
284,2017,45,Dillon Brooks
285,2017,46,Sterling Brown
286,2017,47,Ike Anigbogu
287,2017,48,Sindarius Thornwell
288,2017,49,Vlatko Čančar
289,2017,50,Mathias Lessort
290,2017,51,Monte Morris
291,2017,52,Edmond Sumner
292,2017,53,Kadeem Allen
293,2017,54,Alec Peters
294,2017,55,Nigel Williams-Goss
295,2017,56,Jabari Bird
296,2017,57,Sasha Vezenkov
297,2017,58,Ognjen Jaramaz
298,2017,59,Jaron Blossomgame
299,2017,60,Alpha Kaba
300,2018,1,Deandre Ayton
301,2018,2,Marvin Bagley III
302,2018,3,Luka Dončić
303,2018,4,Jaren Jackson Jr.
304,2018,5,Trae Young
305,2018,6,Mo Bamba
306,2018,7,Wendell Carter Jr.
307,2018,8,Collin Sexton
308,2018,9,Kevin Knox
309,2018,10,Mikal Bridges
310,2018,11,Shai Gilgeous-Alexander
311,2018,12,Miles Bridges
312,2018,13,Jerome Robinson
313,2018,14,Michael Porter Jr.
314,2018,15,Troy Brown Jr.
315,2018,16,Zhaire Smith
316,2018,17,Donte DiVincenzo
317,2018,18,Lonnie Walker IV
318,2018,19,Kevin Huerter
319,2018,20,Josh Okogie
320,2018,21,Grayson Allen
321,2018,22,Chandler Hutchison
322,2018,23,Aaron Holiday
323,2018,24,Anfernee Simons
324,2018,25,Moritz Wagner
325,2018,26,Landry Shamet
326,2018,27,Robert Williams
327,2018,28,Jacob Evans
328,2018,29,Džanan Musa
329,2018,30,Omari Spellman
330,2018,31,Elie Okobo
331,2018,32,Jevon Carter
332,2018,33,Jalen Brunson
333,2018,34,Devonte' Graham
334,2018,35,Melvin Frazier
335,2018,36,Mitchell Robinson
336,2018,37,Gary Trent Jr.
337,2018,38,Khyri Thomas
338,2018,39,Isaac Bonga
339,2018,40,Rodions Kurucs
340,2018,41,Jarred Vanderbilt
341,2018,42,Bruce Brown
342,2018,43,Justin Jackson
343,2018,44,Issuf Sanon
344,2018,45,Hamidou Diallo
345,2018,46,De'Anthony Melton
346,2018,47,Svi Mykhailiuk
347,2018,48,Keita Bates-Diop
348,2018,49,Chimezie Metu
349,2018,50,Alize Johnson
350,2018,51,Tony Carr
351,2018,52,Vince Edwards
352,2018,53,Devon Hall
353,2018,54,Shake Milton
354,2018,55,Arnoldas Kulboka
355,2018,56,Ray Spalding
356,2018,57,Kevin Hervey
357,2018,58,Thomas Welsh
358,2018,59,George King
359,2018,60,Kostas Antetokounmpo
360,2019,1,Zion Williamson
361,2019,2,Ja Morant
362,2019,3,RJ Barrett
363,2019,4,De'Andre Hunter
